"user_id","event","time_stamp"
"1","impression","2001-09-27 23:00:01"
"1","impression","2001-09-27 23:00:03"
"1","impression","2001-09-27 23:00:05"
"1","impression","2001-09-27 23:00:07"
"1","impression","2001-09-27 23:00:09"
"1","impression","2001-09-27 23:00:11"
"1","impression","2001-09-27 23:00:13"
"1","Email","2001-09-27 23:00:15"
"1","impression","2001-09-27 23:00:17"
"1","impression","2001-09-27 23:00:19"
"1","SocialNetwork","2001-09-27 23:00:20"
"1","Direct","2001-09-27 23:00:21"
"1","Referral","2001-09-27 23:00:22"
"1","PaidSearch","2001-09-27 23:00:23"
"2","impression","2001-09-27 23:00:29"
"2","impression","2001-09-27 23:00:31"
"2","impression","2001-09-27 23:00:33"
"2","impression","2001-09-27 23:00:36"
"2","impression","2001-09-27 23:00:38"
"2","impression","2001-09-27 23:00:43"
"2","impression","2001-09-27 23:00:47"
"2","OrganicSearch","2001-09-27 23:00:49"
"2","impression","2001-09-27 23:00:51"
"2","impression","2001-09-27 23:00:53"
"2","impression","2001-09-27 23:00:55"
"2","SocialNetwork","2001-09-27 23:00:59"
