"timeseriesid","timestamp1","stockprice"
4,0.0,0.0
4,0.0250627,0.0
4,0.0501253,0.0
4,0.075188,0.0
4,0.100251,0.0
4,0.125313,0.0
4,0.150376,0.0
4,0.175439,0.0
4,0.200501,0.0
4,0.225564,0.0
4,0.250627,0.0
4,0.275689,8.63685
4,0.300752,17.0802
4,0.325815,25.3146
4,0.350877,33.3452
4,0.37594,41.177
4,0.401003,48.8149
4,0.426065,56.2638
4,0.451128,63.5283
4,0.47619,70.6131
4,0.501253,77.5225
4,0.526316,84.2608
4,0.551378,90.8324
4,0.576441,97.2413
4,0.601504,103.492
4,0.626566,109.587
4,0.651629,115.532
4,0.676692,121.329
4,0.701754,126.984
4,0.726817,132.498
4,0.75188,137.875
4,0.776942,143.12
4,0.802005,148.235
4,0.827068,153.223
4,0.85213,158.087
4,0.877193,162.832
4,0.902256,167.459
4,0.927318,171.971
4,0.952381,176.372
4,0.977444,180.663
4,1.00251,184.849
4,1.02757,188.931
4,1.05263,192.912
4,1.07769,196.794
4,1.10276,200.58
4,1.12782,204.273
4,1.15288,207.874
4,1.17794,211.386
4,1.20301,214.811
4,1.22807,218.151
4,1.25313,221.409
4,1.2782,224.586
4,1.30326,227.684
4,1.32832,230.706
4,1.35338,233.653
4,1.37845,236.527
4,1.40351,239.33
4,1.42857,242.063
4,1.45363,244.729
4,1.4787,247.329
4,1.50376,249.864
4,1.52882,252.337
4,1.55388,254.748
4,1.57895,257.1
4,1.60401,259.394
4,1.62907,261.63
4,1.65414,263.812
4,1.6792,265.939
4,1.70426,268.014
4,1.72932,270.038
4,1.75439,272.011
4,1.77945,273.936
4,1.80451,275.812
4,1.82957,277.643
4,1.85464,279.428
4,1.8797,281.169
4,1.90476,282.867
4,1.92982,284.523
4,1.95489,286.138
4,1.97995,287.712
4,2.00501,289.248
4,2.03008,290.746
4,2.05514,292.207
4,2.0802,293.632
4,2.10526,295.021
4,2.13033,296.376
4,2.15539,297.698
4,2.18045,298.986
4,2.20551,300.243
4,2.23058,301.469
4,2.25564,302.664
4,2.2807,303.83
4,2.30576,304.967
4,2.33083,306.076
4,2.35589,307.157
4,2.38095,308.212
4,2.40602,309.241
4,2.43108,310.244
4,2.45614,311.222
4,2.4812,312.176
4,2.50627,313.106
4,2.53133,314.014
4,2.55639,314.899
4,2.58145,315.762
4,2.60652,316.603
4,2.63158,317.424
4,2.65664,318.225
4,2.6817,319.005
4,2.70677,319.767
4,2.73183,320.509
4,2.75689,321.233
4,2.78195,321.94
4,2.80702,322.628
4,2.83208,323.3
4,2.85714,323.955
4,2.88221,324.594
4,2.90727,325.217
4,2.93233,325.825
4,2.95739,326.417
4,2.98246,326.995
4,3.00752,327.559
4,3.03258,328.108
4,3.05764,328.644
4,3.08271,329.167
4,3.10777,329.677
4,3.13283,330.174
4,3.15789,330.659
4,3.18296,331.132
4,3.20802,331.593
4,3.23308,332.043
4,3.25815,332.482
4,3.28321,332.91
4,3.30827,333.327
4,3.33333,333.734
4,3.3584,334.131
4,3.38346,334.518
4,3.40852,334.895
4,3.43358,335.263
4,3.45865,335.622
4,3.48371,335.972
4,3.50877,336.314
4,3.53383,336.647
4,3.5589,336.971
4,3.58396,337.288
4,3.60902,337.597
4,3.63409,337.898
4,3.65915,338.192
4,3.68421,338.478
4,3.70927,338.758
4,3.73434,339.03
4,3.7594,339.296
4,3.78446,339.555
4,3.80952,339.808
4,3.83459,340.054
4,3.85965,340.295
4,3.88471,340.529
4,3.90977,340.758
4,3.93484,340.981
4,3.9599,341.198
4,3.98496,341.41
4,4.01003,341.617
4,4.03509,341.819
4,4.06015,342.015
4,4.08521,342.207
4,4.11028,342.394
4,4.13534,342.577
4,4.1604,342.755
4,4.18546,342.928
4,4.21053,343.098
4,4.23559,343.263
4,4.26065,343.424
4,4.28571,343.581
4,4.31078,343.734
4,4.33584,343.883
4,4.3609,344.029
4,4.38596,344.171
4,4.41103,344.309
4,4.43609,344.444
4,4.46115,344.576
4,4.48622,344.704
4,4.51128,344.83
