"customer_id","session_id","page","datestamp"
529,0,ACCOUNT SUMMARY,2004-03-17 16:35:00
529,0,FAQ,2004-03-17 16:38:00
529,0,ACCOUNT HISTORY,2004-03-17 16:42:00
529,0,FUNDS TRANSFER,2004-03-17 16:45:00
529,0,ONLINE STATEMENT ENROLLMENT,2004-03-17 16:49:00
529,0,PROFILE UPDATE,2004-03-17 16:50:00
529,0,ACCOUNT SUMMARY,2004-03-17 16:51:00
529,0,CUSTOMER SUPPORT,2004-03-17 16:53:00
529,0,VIEW DEPOSIT DETAILS,2004-03-17 16:57:00
529,1,ACCOUNT SUMMARY,2004-03-18 01:16:00
529,1,ACCOUNT SUMMARY,2004-03-18 01:18:00
529,1,FAQ,2004-03-18 01:20:00
529,1,ACCOUNT SUMMARY,2004-03-18 01:21:00
529,1,FUNDS TRANSFER,2004-03-18 01:24:00
529,1,ACCOUNT HISTORY,2004-03-18 01:25:00
529,1,VIEW DEPOSIT DETAILS,2004-03-18 01:27:00
529,1,ACCOUNT SUMMARY,2004-03-18 01:27:00
529,1,ACCOUNT HISTORY,2004-03-18 01:28:00
529,2,ACCOUNT SUMMARY,2004-03-18 09:22:00
529,2,ACCOUNT SUMMARY,2004-03-18 09:23:00
529,2,ACCOUNT SUMMARY,2004-03-18 09:25:00
529,2,ACCOUNT HISTORY,2004-03-18 09:27:00
529,2,FUNDS TRANSFER,2004-03-18 09:31:00
529,2,ACCOUNT SUMMARY,2004-03-18 09:31:00
529,2,FAQ,2004-03-18 09:33:00
529,2,FAQ,2004-03-18 09:36:00
529,3,ACCOUNT SUMMARY,2004-03-18 22:41:00
529,3,ACCOUNT HISTORY,2004-03-18 22:45:00
529,3,ACCOUNT SUMMARY,2004-03-18 22:47:00
529,3,ACCOUNT HISTORY,2004-03-18 22:49:00
529,3,FAQ,2004-03-18 22:50:00
529,3,ACCOUNT SUMMARY,2004-03-18 22:53:00
529,3,ACCOUNT SUMMARY,2004-03-18 22:55:00
529,4,ACCOUNT SUMMARY,2004-03-19 08:33:00
529,4,FAQ,2004-03-19 08:36:00
529,4,VIEW DEPOSIT DETAILS,2004-03-19 08:38:00
529,4,FAQ,2004-03-19 08:41:00
529,5,ACCOUNT SUMMARY,2004-03-19 10:06:00
529,5,FUNDS TRANSFER,2004-03-19 10:09:00
529,5,VIEW DEPOSIT DETAILS,2004-03-19 10:11:00
529,5,VIEW DEPOSIT DETAILS,2004-03-19 10:13:00
529,5,ACCOUNT HISTORY,2004-03-19 10:14:00
561,0,ACCOUNT SUMMARY,2004-04-11 03:07:00
561,0,VIEW DEPOSIT DETAILS,2004-04-11 03:11:00
561,0,CUSTOMER SUPPORT,2004-04-11 03:14:00
561,0,ACCOUNT HISTORY,2004-04-11 03:15:00
561,0,ACCOUNT HISTORY,2004-04-11 03:19:00
561,0,PROFILE UPDATE,2004-04-11 03:22:00
561,1,ACCOUNT SUMMARY,2004-04-11 17:45:00
561,1,FUNDS TRANSFER,2004-04-11 17:47:00
561,1,FAQ,2004-04-11 17:48:00
561,1,ACCOUNT SUMMARY,2004-04-11 17:51:00
561,2,ACCOUNT SUMMARY,2004-04-11 22:11:00
561,2,FUNDS TRANSFER,2004-04-11 22:12:00
561,3,ACCOUNT SUMMARY,2004-04-12 01:20:00
561,3,ACCOUNT SUMMARY,2004-04-12 01:21:00
561,3,ONLINE STATEMENT ENROLLMENT,2004-04-12 01:23:00
561,3,FUNDS TRANSFER,2004-04-12 01:27:00
561,3,ACCOUNT HISTORY,2004-04-12 01:30:00
561,3,FAQ,2004-04-12 01:32:00
561,3,FAQ,2004-04-12 01:34:00
561,3,ACCOUNT SUMMARY,2004-04-12 01:37:00
561,3,FAQ,2004-04-12 01:39:00
561,3,FUNDS TRANSFER,2004-04-12 01:43:00
561,3,VIEW DEPOSIT DETAILS,2004-04-12 01:46:00
561,4,ACCOUNT SUMMARY,2004-04-12 11:01:00
561,4,VIEW DEPOSIT DETAILS,2004-04-12 11:04:00
561,4,FAQ,2004-04-12 11:05:00
561,4,FAQ,2004-04-12 11:09:00
561,4,FUNDS TRANSFER,2004-04-12 11:10:00
561,4,ACCOUNT HISTORY,2004-04-12 11:13:00
561,4,ACCOUNT SUMMARY,2004-04-12 11:15:00
561,4,VIEW DEPOSIT DETAILS,2004-04-12 11:18:00
561,4,ACCOUNT HISTORY,2004-04-12 11:19:00
561,5,ACCOUNT SUMMARY,2004-04-12 22:49:00
561,5,ACCOUNT SUMMARY,2004-04-12 22:53:00
561,5,VIEW DEPOSIT DETAILS,2004-04-12 22:54:00
561,5,ACCOUNT SUMMARY,2004-04-12 22:55:00
561,5,ACCOUNT SUMMARY,2004-04-12 22:58:00
561,5,ACCOUNT HISTORY,2004-04-12 23:01:00
561,6,ACCOUNT SUMMARY,2004-04-13 10:57:00
561,6,ACCOUNT HISTORY,2004-04-13 10:58:00
561,6,FUNDS TRANSFER,2004-04-13 11:00:00
561,6,ACCOUNT SUMMARY,2004-04-13 11:04:00
561,6,FUNDS TRANSFER,2004-04-13 11:07:00
561,6,ACCOUNT HISTORY,2004-04-13 11:10:00
561,6,FUNDS TRANSFER,2004-04-13 11:12:00
561,6,FAQ,2004-04-13 11:12:00
561,6,ACCOUNT SUMMARY,2004-04-13 11:15:00
561,6,FUNDS TRANSFER,2004-04-13 11:16:00
