"id","name","period","stockprice","volume"
3,"pg",1961-05-17,18.375,1032000
3,"pg",1961-05-18,18.25,1435200
3,"pg",1961-05-19,17.625,1582000
3,"pg",1961-05-22,17.75,317200
3,"pg",1961-05-23,17.625,608800
3,"pg",1961-05-24,17.75,1038800
3,"pg",1961-05-25,17.25,911200
3,"pg",1961-05-26,17.5,2005600
3,"pg",1961-05-29,18,1672800
3,"pg",1961-05-31,18,1735600
3,"pg",1961-06-01,21.5,1228400
3,"pg",1961-06-02,22,635600
3,"pg",1961-06-05,22,434800
3,"pg",1961-06-06,22.5,570800
3,"pg",1961-06-07,23,1582000
3,"pg",1961-06-08,22.75,984800
3,"pg",1961-06-09,23,922400
3,"pg",1961-06-12,23.125,339600
3,"pg",1961-06-13,24.125,909200
3,"pg",1961-06-14,24.125,916000
3,"pg",1961-06-15,24.375,538000
3,"pg",1961-06-16,24.625,438800
3,"pg",1961-06-19,24.5,620000
3,"pg",1961-06-20,24.375,952800
3,"pg",1961-06-21,24.625,520400
1,"ibm",1961-05-17,460,640000
1,"ibm",1961-05-18,457,707200
1,"ibm",1961-05-19,452,747200
1,"ibm",1961-05-22,459,1331200
1,"ibm",1961-05-23,462,1848000
1,"ibm",1961-05-24,459,779200
1,"ibm",1961-05-25,463,528000
1,"ibm",1961-05-26,479,843200
1,"ibm",1961-05-29,493,1728000
1,"ibm",1961-05-31,490,880000
1,"ibm",1961-06-01,492,760000
1,"ibm",1961-06-02,498,1848000
1,"ibm",1961-06-05,499,1347200
1,"ibm",1961-06-06,497,1480000
1,"ibm",1961-06-07,496,1091200
1,"ibm",1961-06-08,490,1096000
1,"ibm",1961-06-09,489,760000
1,"ibm",1961-06-12,478,904000
1,"ibm",1961-06-13,487,1955200
1,"ibm",1961-06-14,491,1091200
1,"ibm",1961-06-15,487,1323200
1,"ibm",1961-06-16,482,376000
1,"ibm",1961-06-19,479,339200
1,"ibm",1961-06-20,478,640000
1,"ibm",1961-06-21,479,640000
2,"ge",1961-05-17,68.25024,2726400
2,"ge",1961-05-18,67.750082,1670400
2,"ge",1961-05-19,68.375038,1516800
2,"ge",1961-05-22,67.12512,1852800
2,"ge",1961-05-23,67.12512,1718400
2,"ge",1961-05-24,66,1267200
2,"ge",1961-05-25,66.500158,2006400
2,"ge",1961-05-26,64.12512,2515200
2,"ge",1961-05-29,64.750082,2236800
2,"ge",1961-05-31,65.375038,2227200
2,"ge",1961-06-01,66.624962,2659200
2,"ge",1961-06-02,66.874557,1200000
2,"ge",1961-06-05,67.000322,1478400
2,"ge",1961-06-06,67.249918,1219200
2,"ge",1961-06-07,65.875202,1084800
2,"ge",1961-06-08,66.124798,643200
2,"ge",1961-06-09,66.500158,1296000
2,"ge",1961-06-12,67.750082,1017600
2,"ge",1961-06-13,67.499519,1152000
2,"ge",1961-06-14,67.249918,1238400
2,"ge",1961-06-15,66.249601,1219200
2,"ge",1961-06-16,64.500481,1584000
2,"ge",1961-06-19,64.87488,1056000
2,"ge",1961-06-20,63.624962,835200
2,"ge",1961-06-21,63.874557,1142400
