id,ROW_I,OUT_v,CONF_OFF_v,CONF_LOW_v,CONF_HI_v
1,0,1e+00,0e+00,1e+00,1e+00
1,1,9.416996727690261e-01,2.907717884191685e-01,6.509278843498576e-01,1.2324714611881946e+00
1,2,8.284986328947288e-01,4.842547748565381e-01,3.442438580381907e-01,1.3127534077512668e+00
1,3,6.708578695222375e-01,5.920913692420781e-01,7.876650028015941e-02,1.2629492387643155e+00
1,4,4.815616966610039e-01,6.532029558519226e-01,-1.7164125919091866e-01,1.1347646525129265e+00
1,5,2.7473741953030045e-01,6.825597805116725e-01,-4.078223609813721e-01,9.57297200041973e-01
1,6,6.483037142946574e-02,6.918463449908144e-01,-6.270159735613487e-01,7.566767164202801e-01
1,7,-1.343928370124438e-01,6.923597862702022e-01,-8.267526232826461e-01,5.579669492577584e-01
1,8,-3.107447519882334e-01,6.945618751490229e-01,-1.0053066271372564e+00,3.838171231607895e-01
1,9,-4.5436244307300827e-01,7.062184805200586e-01,-1.1605809235930669e+00,2.518560374470504e-01
1,10,-5.582522292789849e-01,7.305160511338084e-01,-1.2887682804127931e+00,1.7226382185482347e-01
1,11,-6.186041553734059e-01,7.657361571255819e-01,-1.3843403124989877e+00,1.47132001752176e-01
1,12,-6.348641490538919e-01,8.068830107958537e-01,-1.4417471598497456e+00,1.720188617419618e-01
1,13,-6.095696145486887e-01,8.480654127805827e-01,-1.4576350273292715e+00,2.3849579823189393e-01
1,14,-5.479710485341497e-01,8.843342032892917e-01,-1.4323052518234414e+00,3.36363154755142e-01
1,15,-4.574769215779833e-01,9.125907970014308e-01,-1.3700677185794141e+00,4.5511387542344744e-01
