"sid","id","val"
"1","1","10.830802"
"1","2","10.071816"
"1","3","10.309023"
"1","4","10.011282"
"1","5","10.834331"
"1","6","10.018896"
"1","7","10.870196"
"1","8","10.706876"
"1","9","10.724646"
"1","10","10.763343"
"1","11","100.943092"
"1","12","100.245048"
"1","13","100.866726"
"1","14","100.076796"
"1","15","100.764641"
"1","16","100.000075"
"1","17","100.331591"
"1","18","100.89944"
"1","19","100.596469"
"1","20","100.194253"
"1","21","10.242275"
"1","22","10.781369"
"1","23","10.907523"
"1","24","10.020131"
"1","25","10.461167"
"1","26","10.086724"
"1","27","10.335392"
"1","28","10.015704"
"1","29","10.408671"
"1","30","10.170714"
"1","31","100.378893"
"1","32","100.225422"
"1","33","100.104903"
"1","34","100.924196"
"1","35","100.654326"
"1","36","100.567598"
"1","37","100.234118"
"1","38","100.921336"
"1","39","100.333974"
"1","40","100.872702"
