Alabama,State,1910,2138093
Alaska,State,1910,64356
Arizona,State,1910,204354
Arkansas,State,1910,1574449
California,State,1910,2377549
Colorado,State,1910,799024
Connecticut,State,1910,1114756
Delaware,State,1910,202322
District of Columbia,State,1910,331069
Florida,State,1910,752619
Georgia,State,1910,2609121
Hawaii,State,1910,191909
Idaho,State,1910,325594
Illinois,State,1910,5638591
Indiana,State,1910,2700876
Iowa,State,1910,2224771
Kansas,State,1910,1690949
Kentucky,State,1910,2289905
Louisiana,State,1910,1656388
Maine,State,1910,742371
Maryland,State,1910,1295346
Massachusetts,State,1910,3366416
Michigan,State,1910,2810173
Minnesota,State,1910,2075708
Mississippi,State,1910,1797114
Missouri,State,1910,3293335
Montana,State,1910,376053
Nebraska,State,1910,1192214
Nevada,State,1910,81875
New Hampshire,State,1910,430572
New Jersey,State,1910,2537167
New Mexico,State,1910,327301
New York,State,1910,9113614
North Carolina,State,1910,2206287
North Dakota,State,1910,577056
Ohio,State,1910,4767121
Oklahoma,State,1910,1657155
Oregon,State,1910,672765
Pennsylvania,State,1910,7665111
Puerto Rico,State,1910,1118012
Rhode Island,State,1910,542610
South Carolina,State,1910,1515400
South Dakota,State,1910,583888
Tennessee,State,1910,2184789
Texas,State,1910,3896542
Utah,State,1910,373351
Vermont,State,1910,355956
Virginia,State,1910,2061612
Washington,State,1910,1141990
West Virginia,State,1910,1221119
Wisconsin,State,1910,2333860
Wyoming,State,1910,145965
Alabama,State,1920,2348174
Alaska,State,1920,55036
Arizona,State,1920,334162
Arkansas,State,1920,1752204
California,State,1920,3426861
Colorado,State,1920,939629
Connecticut,State,1920,1380631
Delaware,State,1920,223003
District of Columbia,State,1920,437571
Florida,State,1920,968470
Georgia,State,1920,2895832
Hawaii,State,1920,255912
Idaho,State,1920,431866
Illinois,State,1920,6485280
Indiana,State,1920,2930390
Iowa,State,1920,2404021
Kansas,State,1920,1769257
Kentucky,State,1920,2416630
Louisiana,State,1920,1798509
Maine,State,1920,768014
Maryland,State,1920,1449661
Massachusetts,State,1920,3852356
Michigan,State,1920,3668412
Minnesota,State,1920,2387125
Mississippi,State,1920,1790618
Missouri,State,1920,3404055
Montana,State,1920,548889
Nebraska,State,1920,1296372
Nevada,State,1920,77407
New Hampshire,State,1920,443083
New Jersey,State,1920,3155900
New Mexico,State,1920,360350
New York,State,1920,10385227
North Carolina,State,1920,2559123
North Dakota,State,1920,646872
Ohio,State,1920,5759394
Oklahoma,State,1920,2028283
Oregon,State,1920,783389
Pennsylvania,State,1920,8720017
Puerto Rico,State,1920,1299809
Rhode Island,State,1920,604397
South Carolina,State,1920,1683724
South Dakota,State,1920,636547
Tennessee,State,1920,2337885
Texas,State,1920,4663228
Utah,State,1920,449396
Vermont,State,1920,352428
Virginia,State,1920,2309187
Washington,State,1920,1356621
West Virginia,State,1920,1463701
Wisconsin,State,1920,2632067
Wyoming,State,1920,194402
Alabama,State,1930,2646248
Alaska,State,1930,59278
Arizona,State,1930,435573
Arkansas,State,1930,1854482
California,State,1930,5677251
Colorado,State,1930,1035791
Connecticut,State,1930,1606903
Delaware,State,1930,238380
District of Columbia,State,1930,486869
Florida,State,1930,1468211
Georgia,State,1930,2908506
Hawaii,State,1930,368336
Idaho,State,1930,445032
Illinois,State,1930,7630654
Indiana,State,1930,3238503
Iowa,State,1930,2470939
Kansas,State,1930,1880999
Kentucky,State,1930,2614589
Louisiana,State,1930,2101593
Maine,State,1930,797423
Maryland,State,1930,1631526
Massachusetts,State,1930,4249614
Michigan,State,1930,4842325
Minnesota,State,1930,2563953
Mississippi,State,1930,2009821
Missouri,State,1930,3629367
Montana,State,1930,537606
Nebraska,State,1930,1377963
Nevada,State,1930,91058
New Hampshire,State,1930,465293
New Jersey,State,1930,4041334
New Mexico,State,1930,423317
New York,State,1930,12588066
North Carolina,State,1930,3170276
North Dakota,State,1930,680845
Ohio,State,1930,6646697
Oklahoma,State,1930,2396040
Oregon,State,1930,953786
Pennsylvania,State,1930,9631350
Puerto Rico,State,1930,1543913
Rhode Island,State,1930,687497
South Carolina,State,1930,1738765
South Dakota,State,1930,692849
Tennessee,State,1930,2616556
Texas,State,1930,5824715
Utah,State,1930,507847
Vermont,State,1930,359611
Virginia,State,1930,2421851
Washington,State,1930,1563396
West Virginia,State,1930,1729205
Wisconsin,State,1930,2939006
Wyoming,State,1930,225565
Alabama,State,1940,2832961
Alaska,State,1940,72524
Arizona,State,1940,499261
Arkansas,State,1940,1949387
California,State,1940,6907387
Colorado,State,1940,1123296
Connecticut,State,1940,1709242
Delaware,State,1940,266505
District of Columbia,State,1940,663091
Florida,State,1940,1897414
Georgia,State,1940,3123723
Hawaii,State,1940,423330
Idaho,State,1940,524873
Illinois,State,1940,7897241
Indiana,State,1940,3427796
Iowa,State,1940,2538268
Kansas,State,1940,1801028
Kentucky,State,1940,2845627
Louisiana,State,1940,2363880
Maine,State,1940,847226
Maryland,State,1940,1821244
Massachusetts,State,1940,4316721
Michigan,State,1940,5256106
