StoreID, ts, Sales
1,2018-01-01,1e+00
1,2018-02-01,2e+00
1,2018-03-01,3e+00
1,2018-04-01,4e+00
1,2018-05-01,5e+00
1,2018-06-01,6e+00
1,2018-07-01,7e+00
1,2018-08-01,8e+00
1,2018-09-01,9e+00
1,2018-10-01,1e+01
1,2018-11-01,1.1e+01
1,2018-12-01,1.2e+01
1,2019-01-01,1e+00
1,2019-02-01,2e+00
1,2019-03-01,3e+00
1,2019-04-01,4e+00
1,2019-05-01,5e+00
1,2019-06-01,6e+00
1,2019-07-01,7e+00
1,2019-08-01,8e+00
1,2019-09-01,9e+00
1,2019-10-01,1e+01
1,2019-11-01,1.1e+01
1,2019-12-01,1.2e+01
1,2020-01-01,1e+00
1,2020-02-01,2e+00
1,2020-03-01,3e+00
1,2020-04-01,4e+00
1,2020-05-01,5e+00
1,2020-06-01,6e+00
1,2020-07-01,7e+00
1,2020-08-01,8e+00
1,2020-09-01,9e+00
1,2020-10-01,1e+01
1,2020-11-01,1.1e+01
1,2020-12-01,1.2e+01
