"session_id","page_url","datestamp"
"5","www.bank.com/acsum","2004-03-19 10:06:00.000000"
"4","www.bank.com/acsum","2004-03-19 08:33:00.000000"
"0","www.bank.com/acsum","2004-03-17 16:35:00.000000"
"5","www.bank.com/fundsxfer","2004-03-19 10:09:00.000000"
"4","www.bank.com/faq","2004-03-19 08:36:00.000000"
"0","www.bank.com/faq","2004-03-17 16:38:00.000000"
"5","www.bank.com/deposit","2004-03-19 10:11:00.000000"
"4","www.bank.com/deposit","2004-03-19 08:38:00.000000"
"0","www.bank.com/achist","2004-03-17 16:42:00.000000"
"5","www.bank.com/deposit","2004-03-19 10:13:00.000000"
"4","www.bank.com/faq","2004-03-19 08:41:00.000000"
"0","www.bank.com/fundsxfer","2004-03-17 16:45:00.000000"
"5","www.bank.com/achist","2004-03-19 10:14:00.000000"
"4","www.bank.com/acsum","2004-03-19 08:33:00.000000"
"0","www.bank.com/onlinestat","2004-03-17 16:49:00.000000"
"5","www.bank.com/acsum","2004-03-19 10:06:00.000000"
"4","www.bank.com/faq","2004-03-19 08:36:00.000000"
"0","www.bank.com/profile","2004-03-17 16:50:00.000000"
"5","www.bank.com/fundsxfer","2004-03-19 10:09:00.000000"
"4","www.bank.com/deposit","2004-03-19 08:38:00.000000"
"0","www.bank.com/acsum","2004-03-17 16:51:00.000000"
"5","www.bank.com/deposit","2004-03-19 10:11:00.000000"
"4","www.bank.com/faq","2004-03-19 08:41:00.000000"
"0","www.bank.com/customer","2004-03-17 16:53:00.000000"
"5","www.bank.com/deposit","2004-03-19 10:13:00.000000"
"0","www.bank.com/deposit","2004-03-17 16:57:00.000000"
"5","www.bank.com/achist","2004-03-19 10:14:00.000000"
"0","www.bank.com/acsum","2004-03-17 16:35:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:41:00.000000"
"0","www.bank.com/faq","2004-03-17 16:38:00.000000"
"3","www.bank.com/achist","2004-03-18 22:45:00.000000"
"0","www.bank.com/achist","2004-03-17 16:42:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:47:00.000000"
"0","www.bank.com/fundsxfer","2004-03-17 16:45:00.000000"
"3","www.bank.com/achist","2004-03-18 22:49:00.000000"
"0","www.bank.com/onlinestat","2004-03-17 16:49:00.000000"
"3","www.bank.com/faq","2004-03-18 22:50:00.000000"
"0","www.bank.com/profile","2004-03-17 16:50:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:53:00.000000"
"0","www.bank.com/acsum","2004-03-17 16:51:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:55:00.000000"
"0","www.bank.com/customer","2004-03-17 16:53:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:41:00.000000"
"0","www.bank.com/deposit","2004-03-17 16:57:00.000000"
"3","www.bank.com/achist","2004-03-18 22:45:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:47:00.000000"
"3","www.bank.com/achist","2004-03-18 22:49:00.000000"
"3","www.bank.com/faq","2004-03-18 22:50:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:53:00.000000"
"3","www.bank.com/acsum","2004-03-18 22:55:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:16:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:18:00.000000"
"1","www.bank.com/faq","2004-03-18 01:20:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:21:00.000000"
"1","www.bank.com/fundsxfer","2004-03-18 01:24:00.000000"
"1","www.bank.com/achist","2004-03-18 01:25:00.000000"
"1","www.bank.com/deposit","2004-03-18 01:27:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:27:00.000000"
"1","www.bank.com/achist","2004-03-18 01:28:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:16:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:18:00.000000"
"1","www.bank.com/faq","2004-03-18 01:20:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:21:00.000000"
"1","www.bank.com/fundsxfer","2004-03-18 01:24:00.000000"
"1","www.bank.com/achist","2004-03-18 01:25:00.000000"
"1","www.bank.com/deposit","2004-03-18 01:27:00.000000"
"1","www.bank.com/acsum","2004-03-18 01:27:00.000000"
"1","www.bank.com/achist","2004-03-18 01:28:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:22:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:23:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:25:00.000000"
"2","www.bank.com/achist","2004-03-18 09:27:00.000000"
"2","www.bank.com/fundsxfer","2004-03-18 09:31:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:31:00.000000"
"2","www.bank.com/faq","2004-03-18 09:33:00.000000"
"2","www.bank.com/faq","2004-03-18 09:36:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:22:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:23:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:25:00.000000"
"2","www.bank.com/achist","2004-03-18 09:27:00.000000"
"2","www.bank.com/fundsxfer","2004-03-18 09:31:00.000000"
"2","www.bank.com/acsum","2004-03-18 09:31:00.000000"
"2","www.bank.com/faq","2004-03-18 09:33:00.000000"
"2","www.bank.com/faq","2004-03-18 09:36:00.000000"
