"model_id","state","observed","probability"
2,"1","   1",0.444014441239182
1,"1","   1",6.76987232427815e-05
2,"1","   2",0.0854389099922666
1,"1","   7",0.122102390082852
2,"1","   4",6.3966539144571e-07
1,"1","   6",0.471390864341215
2,"1","   6",0.0327462851283826
1,"1","   4",0.0219651482063729
2,"1","   7",0.0302810662095712
1,"1","   2",0.0623246854723813
2,"1","   8",0.134921132808133
1,"1","   3",0.131221401516248
2,"1","   5",0.0924538918999322
1,"1","   8",0.191389714904858
2,"1","   3",0.210424699266713
1,"1","   5",0.190927811657689
2,"0","   4",0.25053681954931
1,"0","   6",0.614287656549627
2,"2","   4",6.82983175536808e-05
1,"0","   2",5.46804172983598e-09
2,"2","   8",0.0245180924581862
1,"0","   1",0.00889145765460549
2,"0","   8",0.0728811822150213
1,"0","   8",0.019644702389413
2,"2","   7",0.0882098387921544
1,"0","   5",2.20638251075132e-08
2,"0","   2",0.00013089471188241
1,"0","   4",0.27160363157688
2,"0","   7",0.172278884243048
1,"0","   7",0.105217222547838
2,"2","   6",0.000170751682147408
1,"2","   6",4.12613460594026e-10
2,"0","   6",0.0804303509613532
1,"2","   3",0.0110775228332053
2,"2","   3",0.00221873542294955
1,"2","   5",1.35690115772019e-10
2,"0","   3",0.000126615798140081
1,"2","   1",0.987961807738273
2,"0","   1",0.595894136104688
1,"2","   4",0.000115705591347447
2,"0","   5",6.59605341212256e-10
1,"0","   3",4.13918221870818e-09
2,"2","   2",0.00293513169120682
1,"2","   7",9.58788853300059e-11
2,"2","   1",0.970083045779616
1,"2","   2",0.000844963192991197
2,"2","   5",5.94464834020362e-06
1,"2","   8",0.0810849712603965
