"templateid","timestamp2","indexprice"
3,0.0,0.0
3,0.0250627,0.0
3,0.0501253,0.0
3,0.075188,0.0
3,0.100251,0.0
3,0.125313,0.0
3,0.150376,0.0
3,0.175439,0.0
3,0.200501,0.0
3,0.225564,0.0
3,0.250627,0.0
3,0.275689,0.0
3,0.300752,0.0
3,0.325815,0.0
3,0.350877,0.0
3,0.37594,0.0
3,0.401003,0.0
3,0.426065,0.0
3,0.451128,0.0
3,0.47619,0.0
3,0.501253,0.0
3,0.526316,0.0
3,0.551378,0.0
3,0.576441,0.0
3,0.601504,0.0
3,0.626566,0.0
3,0.651629,0.0
3,0.676692,0.0
3,0.701754,0.0
3,0.726817,2.85996
3,0.75188,6.16532
3,0.776942,9.43925
3,0.802005,12.6821
3,0.827068,15.894
3,0.85213,19.0755
3,0.877193,22.2267
3,0.902256,25.3479
3,0.927318,28.4394
3,0.952381,31.5016
3,0.977444,34.5347
3,1.00251,37.5389
3,1.02757,40.5145
3,1.05263,43.4619
3,1.07769,46.3813
3,1.10276,49.2729
3,1.12782,52.137
3,1.15288,54.9738
3,1.17794,57.7837
3,1.20301,60.5669
3,1.22807,63.3236
3,1.25313,66.0542
3,1.2782,68.7587
3,1.30326,71.4376
3,1.32832,74.0909
3,1.35338,76.7191
3,1.37845,79.3223
3,1.40351,81.9007
3,1.42857,84.4546
3,1.45363,86.9842
3,1.4787,89.4898
3,1.50376,91.9715
3,1.52882,94.4297
3,1.55388,96.8645
3,1.57895,99.2761
3,1.60401,101.665
3,1.62907,104.031
3,1.65414,106.374
3,1.6792,108.696
3,1.70426,110.995
3,1.72932,113.272
3,1.75439,115.528
3,1.77945,117.762
3,1.80451,119.975
3,1.82957,122.167
3,1.85464,124.338
3,1.8797,126.488
3,1.90476,128.618
3,1.92982,130.728
3,1.95489,132.818
3,1.97995,134.888
3,2.00501,136.938
3,2.03008,138.968
3,2.05514,140.98
3,2.0802,142.972
3,2.10526,144.945
3,2.13033,146.9
3,2.15539,148.836
3,2.18045,150.753
3,2.20551,152.653
3,2.23058,154.534
3,2.25564,156.397
3,2.2807,158.243
3,2.30576,160.071
3,2.33083,161.882
3,2.35589,163.675
3,2.38095,165.452
3,2.40602,167.211
3,2.43108,168.954
3,2.45614,170.68
3,2.4812,172.39
3,2.50627,174.084
3,2.53133,175.761
3,2.55639,177.423
3,2.58145,179.069
3,2.60652,180.699
3,2.63158,182.313
3,2.65664,183.913
3,2.6817,185.497
3,2.70677,187.066
3,2.73183,188.62
3,2.75689,190.159
3,2.78195,191.684
3,2.80702,193.194
3,2.83208,194.69
3,2.85714,196.171
3,2.88221,197.639
3,2.90727,199.093
3,2.93233,200.532
3,2.95739,201.958
3,2.98246,203.371
3,3.00752,204.77
3,3.03258,206.156
3,3.05764,207.528
3,3.08271,208.888
3,3.10777,210.234
3,3.13283,211.568
3,3.15789,212.889
3,3.18296,214.198
3,3.20802,215.494
3,3.23308,216.778
3,3.25815,218.05
3,3.28321,219.309
3,3.30827,220.557
3,3.33333,221.792
3,3.3584,223.016
3,3.38346,224.229
3,3.40852,225.429
3,3.43358,226.619
3,3.45865,227.797
3,3.48371,228.964
3,3.50877,230.119
3,3.53383,231.264
3,3.5589,232.398
3,3.58396,233.521
3,3.60902,234.634
3,3.63409,235.735
3,3.65915,236.827
3,3.68421,237.908
3,3.70927,238.979
3,3.73434,240.039
3,3.7594,241.09
3,3.78446,242.13
3,3.80952,243.161
3,3.83459,244.181
3,3.85965,245.192
3,3.88471,246.194
3,3.90977,247.186
3,3.93484,248.168
3,3.9599,249.142
3,3.98496,250.105
3,4.01003,251.06
3,4.03509,252.006
3,4.06015,252.943
3,4.08521,253.87
3,4.11028,254.789
3,4.13534,255.7
3,4.1604,256.601
3,4.18546,257.494
3,4.21053,258.379
3,4.23559,259.255
3,4.26065,260.123
3,4.28571,260.982
3,4.31078,261.833
3,4.33584,262.677
3,4.3609,263.512
3,4.38596,264.339
3,4.41103,265.159
3,4.43609,265.97
3,4.46115,266.774
3,4.48622,267.571
3,4.51128,268.359
3,4.53634,269.141
3,4.5614,269.914
3,4.58647,270.681
3,4.61153,271.44
3,4.63659,272.192
3,4.66165,272.937
3,4.68672,273.674
3,4.71178,274.405
3,4.73684,275.129
3,4.7619,275.846
3,4.78697,276.556
3,4.81203,277.259
3,4.83709,277.956
3,4.86216,278.646
3,4.88722,279.329
3,4.91228,280.006
3,4.93734,280.676
3,4.96241,281.341
3,4.98747,281.998
3,5.01253,282.65
3,5.03759,283.295
3,5.06266,283.934
3,5.08772,284.568
3,5.11278,285.195
3,5.13784,285.816
3,5.16291,286.431
3,5.18797,287.041
3,5.21303,287.644
3,5.2381,288.242
3,5.26316,288.834
3,5.28822,289.421
3,5.31328,290.002
3,5.33835,290.577
3,5.36341,291.147
3,5.38847,291.712
3,5.41353,292.271
3,5.4386,292.825
3,5.46366,293.374
3,5.48872,293.917
3,5.51378,294.455
3,5.53885,294.988
3,5.56391,295.516
3,5.58897,296.039
3,5.61404,296.557
3,5.6391,297.071
3,5.66416,297.579
3,5.68922,298.082
3,5.71429,298.581
3,5.73935,299.075
3,5.76441,299.564
3,5.78947,300.049
3,5.81454,300.528
3,5.8396,301.004
3,5.86466,301.475
3,5.88972,301.941
3,5.91479,302.403
3,5.93985,302.861
3,5.96491,303.314
3,5.98997,303.763
3,6.01504,304.207
3,6.0401,304.648
3,6.06516,305.084
3,6.09023,305.516
3,6.11529,305.944
3,6.14035,306.368
3,6.16541,306.788
3,6.19048,307.204
3,6.21554,307.616
3,6.2406,308.024
3,6.26566,308.428
3,6.29073,308.828
3,6.31579,309.224
3,6.34085,309.617
3,6.36591,310.006
3,6.39098,310.391
3,6.41604,310.773
3,6.4411,311.151
3,6.46617,311.525
3,6.49123,311.896
3,6.51629,312.264
3,6.54135,312.627
3,6.56642,312.988
3,6.59148,313.345
3,6.61654,313.698
3,6.6416,314.048
3,6.66667,314.395
3,6.69173,314.739
3,6.71679,315.079
3,6.74185,315.416
3,6.76692,315.75
3,6.79198,316.081
3,6.81704,316.408
3,6.84211,316.733
3,6.86717,317.054
3,6.89223,317.372
3,6.91729,317.687
3,6.94236,318.0
3,6.96742,318.309
3,6.99248,318.615
3,7.01754,318.919
3,7.04261,319.219
3,7.06767,319.517
3,7.09273,319.812
3,7.11779,320.104
3,7.14286,320.393
3,7.16792,320.68
3,7.19298,320.963
3,7.21805,321.245
3,7.24311,321.523
3,7.26817,321.799
3,7.29323,322.072
3,7.3183,322.343
3,7.34336,322.611
3,7.36842,322.876
3,7.39348,323.139
3,7.41855,323.399
3,7.44361,323.657
3,7.46867,323.913
3,7.49373,324.166
3,7.5188,324.416
3,7.54386,324.665
3,7.56892,324.911
3,7.59398,325.154
3,7.61905,325.396
3,7.64411,325.634
3,7.66917,325.871
3,7.69424,326.106
3,7.7193,326.338
3,7.74436,326.568
3,7.76942,326.796
3,7.79449,327.021
3,7.81955,327.245
3,7.84461,327.466
3,7.86967,327.686
3,7.89474,327.903
3,7.9198,328.118
3,7.94486,328.331
3,7.96992,328.542
3,7.99499,328.751
3,8.02005,328.958
3,8.04511,329.163
3,8.07018,329.366
3,8.09524,329.568
3,8.1203,329.767
3,8.14536,329.964
3,8.17043,330.16
3,8.19549,330.353
3,8.22055,330.545
3,8.24561,330.735
3,8.27068,330.924
3,8.29574,331.11
3,8.3208,331.295
3,8.34586,331.477
3,8.37093,331.659
3,8.39599,331.838
3,8.42105,332.016
3,8.44612,332.192
3,8.47118,332.366
3,8.49624,332.539
3,8.5213,332.71
3,8.54637,332.879
3,8.57143,333.047
3,8.59649,333.213
3,8.62155,333.378
3,8.64662,333.541
3,8.67168,333.703
3,8.69674,333.863
3,8.7218,334.021
3,8.74687,334.178
3,8.77193,334.334
3,8.79699,334.488
3,8.82206,334.64
3,8.84712,334.791
